head,relation,tail
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
职业_管家,rdfsyntaxnstype,职业
角色_埃德温·贾维斯,relation_拥有,能力_一口英国上层阶级的口音
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
能力_一口英国上层阶级的口音,rdfsyntaxnstype,能力
角色_埃德温·贾维斯,relation_拥有,能力_维护复仇者的昆式喷射机与监督复仇者总部的修缮
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
能力_维护复仇者的昆式喷射机与监督复仇者总部的修缮,rdfsyntaxnstype,能力
角色_埃德温·贾维斯,relation_拥有,能力_为复仇者们准备平时的饮食
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
能力_为复仇者们准备平时的饮食,rdfsyntaxnstype,能力
角色_奥创,relation_对抗,角色_埃德温·贾维斯
角色_奥创,rdfsyntaxnstype,角色
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
角色_奥创,relation_朋友,角色_埃德温·贾维斯
角色_奥创,rdfsyntaxnstype,角色
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
角色_埃德温·贾维斯,relation_对抗,角色_海德先生
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
角色_海德先生,rdfsyntaxnstype,角色
角色_埃德温·贾维斯,relation_对抗,角色_赫尔穆特·泽莫
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
角色_赫尔穆特·泽莫,rdfsyntaxnstype,角色
角色_海德先生,relation_朋友,角色_赫尔穆特·泽莫
角色_海德先生,rdfsyntaxnstype,角色
角色_赫尔穆特·泽莫,rdfsyntaxnstype,角色
角色_赫尔穆特·泽莫,relation_从事,职业_男爵
角色_赫尔穆特·泽莫,rdfsyntaxnstype,角色
职业_男爵,rdfsyntaxnstype,职业
角色_洛基·劳菲森,relation_出现,作品_《雷神》
角色_洛基·劳菲森,rdfsyntaxnstype,角色
作品_《雷神》,rdfsyntaxnstype,作品
演员_汤姆·希德勒斯顿,relation_饰演,角色_洛基·劳菲森
演员_汤姆·希德勒斯顿,rdfsyntaxnstype,演员
角色_洛基·劳菲森,rdfsyntaxnstype,角色
角色_劳菲,relation_代号,称号_冰霜巨人
角色_劳菲,rdfsyntaxnstype,角色
称号_冰霜巨人,rdfsyntaxnstype,称号
角色_洛基·劳菲森,relation_后代,角色_劳菲
角色_洛基·劳菲森,rdfsyntaxnstype,角色
角色_劳菲,rdfsyntaxnstype,角色
角色_奥丁,relation_收养,角色_洛基·劳菲森
角色_奥丁,rdfsyntaxnstype,角色
角色_洛基·劳菲森,rdfsyntaxnstype,角色
角色_洛基·劳菲森,relation_出现,作品_《雷神》
角色_洛基·劳菲森,rdfsyntaxnstype,角色
作品_《雷神》,rdfsyntaxnstype,作品
角色_洛基·劳菲森,relation_出现,作品_《复仇者联盟》
角色_洛基·劳菲森,rdfsyntaxnstype,角色
作品_《复仇者联盟》,rdfsyntaxnstype,作品
角色_洛基·劳菲森,relation_出现,作品_《雷神2：黑暗世界》
角色_洛基·劳菲森,rdfsyntaxnstype,角色
作品_《雷神2：黑暗世界》,rdfsyntaxnstype,作品
角色_洛基·劳菲森,relation_出现,作品_《雷神3：诸神黄昏》
角色_洛基·劳菲森,rdfsyntaxnstype,角色
作品_《雷神3：诸神黄昏》,rdfsyntaxnstype,作品
角色_洛基·劳菲森,relation_出现,作品_《复仇者联盟3：无限战争》
角色_洛基·劳菲森,rdfsyntaxnstype,角色
作品_《复仇者联盟3：无限战争》,rdfsyntaxnstype,作品
角色_洛基·劳菲森,relation_出现,作品_《复仇者联盟4》
角色_洛基·劳菲森,rdfsyntaxnstype,角色
作品_《复仇者联盟4》,rdfsyntaxnstype,作品
角色_洛基·劳菲森,relation_对抗,角色_海拉
角色_洛基·劳菲森,rdfsyntaxnstype,角色
角色_海拉,rdfsyntaxnstype,角色
角色_洛基·劳菲森,relation_持有,装备_宇宙魔方
角色_洛基·劳菲森,rdfsyntaxnstype,角色
装备_宇宙魔方,rdfsyntaxnstype,装备
角色_洛基·劳菲森,relation_朋友,角色_托尔·奥丁森
角色_洛基·劳菲森,rdfsyntaxnstype,角色
角色_托尔·奥丁森,rdfsyntaxnstype,角色
角色_洛基·劳菲森,relation_朋友,角色_浩克
角色_洛基·劳菲森,rdfsyntaxnstype,角色
角色_浩克,rdfsyntaxnstype,角色
角色_托尔·奥丁森,relation_朋友,角色_浩克
角色_托尔·奥丁森,rdfsyntaxnstype,角色
角色_浩克,rdfsyntaxnstype,角色
角色_洛基·劳菲森,relation_对抗,角色_萨诺斯
角色_洛基·劳菲森,rdfsyntaxnstype,角色
角色_萨诺斯,rdfsyntaxnstype,角色
角色_浩克,relation_出现,作品_《不可思议的浩克》
角色_浩克,rdfsyntaxnstype,角色
作品_《不可思议的浩克》,rdfsyntaxnstype,作品
角色_玛姬,relation_配偶,角色_史考特·朗恩
角色_玛姬,rdfsyntaxnstype,角色
角色_史考特·朗恩,rdfsyntaxnstype,角色
角色_凯茜,relation_后代,角色_玛姬
角色_凯茜,rdfsyntaxnstype,角色
角色_玛姬,rdfsyntaxnstype,角色
角色_凯茜,relation_后代,角色_史考特·朗恩
角色_凯茜,rdfsyntaxnstype,角色
角色_史考特·朗恩,rdfsyntaxnstype,角色
角色_玛利亚·希尔,relation_去过,地点_马吉坡
角色_玛利亚·希尔,rdfsyntaxnstype,角色
地点_马吉坡,rdfsyntaxnstype,地点
角色_洛基·劳菲森,relation_去过,地点_地球
角色_洛基·劳菲森,rdfsyntaxnstype,角色
地点_地球,rdfsyntaxnstype,地点
角色_托尔·奥丁森,relation_去过,地点_地球
角色_托尔·奥丁森,rdfsyntaxnstype,角色
地点_地球,rdfsyntaxnstype,地点
角色_浩克,relation_去过,地点_地球
角色_浩克,rdfsyntaxnstype,角色
地点_地球,rdfsyntaxnstype,地点
角色_尼克·弗瑞,relation_从事,职业_神盾局长
角色_尼克·弗瑞,rdfsyntaxnstype,角色
职业_神盾局长,rdfsyntaxnstype,职业
角色_玛利亚·希尔,relation_从事,职业_神盾执行理事
角色_玛利亚·希尔,rdfsyntaxnstype,角色
职业_神盾执行理事,rdfsyntaxnstype,职业
角色_玛利亚·希尔,relation_朋友,角色_托尼·斯塔克
角色_玛利亚·希尔,rdfsyntaxnstype,角色
角色_托尼·斯塔克,rdfsyntaxnstype,角色
角色_玛利亚·希尔,relation_从事,职业_神盾局长
角色_玛利亚·希尔,rdfsyntaxnstype,角色
职业_神盾局长,rdfsyntaxnstype,职业
角色_玛利亚·希尔,relation_领导,计划_超级英雄注册法案
角色_玛利亚·希尔,rdfsyntaxnstype,角色
计划_超级英雄注册法案,rdfsyntaxnstype,计划
角色_彼得·帕克,relation_对抗,团队_雷霆特攻队
角色_彼得·帕克,rdfsyntaxnstype,角色
团队_雷霆特攻队,rdfsyntaxnstype,团队
角色_托尼·斯塔克,relation_从事,职业_神盾局长
角色_托尼·斯塔克,rdfsyntaxnstype,角色
职业_神盾局长,rdfsyntaxnstype,职业
角色_玛利亚·希尔,relation_从事,职业_执行副局长
角色_玛利亚·希尔,rdfsyntaxnstype,角色
职业_执行副局长,rdfsyntaxnstype,职业
角色_彼得·帕克,relation_朋友,角色_尼克·弗瑞
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_尼克·弗瑞,rdfsyntaxnstype,角色
角色_诺曼·奥斯本,relation_属于,机构_天锤
角色_诺曼·奥斯本,rdfsyntaxnstype,角色
机构_天锤,rdfsyntaxnstype,机构
角色_控制者,relation_对抗,角色_玛利亚·希尔
角色_控制者,rdfsyntaxnstype,角色
角色_玛利亚·希尔,rdfsyntaxnstype,角色
角色_佩珀·波兹,relation_朋友,角色_玛利亚·希尔
角色_佩珀·波兹,rdfsyntaxnstype,角色
角色_玛利亚·希尔,rdfsyntaxnstype,角色
角色_玛利亚·希尔,relation_从事,职业_神盾特工
角色_玛利亚·希尔,rdfsyntaxnstype,角色
职业_神盾特工,rdfsyntaxnstype,职业
角色_玛利亚·希尔,relation_属于,机构_斯塔克工业
角色_玛利亚·希尔,rdfsyntaxnstype,角色
机构_斯塔克工业,rdfsyntaxnstype,机构
角色_奥丁,relation_代号,称号_众神之父
角色_奥丁,rdfsyntaxnstype,角色
称号_众神之父,rdfsyntaxnstype,称号
角色_劳菲,relation_代号,称号_冰霜巨人
角色_劳菲,rdfsyntaxnstype,角色
称号_冰霜巨人,rdfsyntaxnstype,称号
角色_梅琳达·梅,relation_属于,物种_人类
角色_梅琳达·梅,rdfsyntaxnstype,角色
物种_人类,rdfsyntaxnstype,物种
角色_梅琳达·梅,relation_后代,角色_威廉姆·梅
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_威廉姆·梅,rdfsyntaxnstype,角色
角色_梅琳达·梅,relation_后代,角色_莲·梅
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_莲·梅,rdfsyntaxnstype,角色
角色_梅琳达·梅,relation_配偶,角色_安德鲁·加纳
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_安德鲁·加纳,rdfsyntaxnstype,角色
角色_梅琳达·梅,relation_从事,职业_神盾局特工
角色_梅琳达·梅,rdfsyntaxnstype,角色
职业_神盾局特工,rdfsyntaxnstype,职业
角色_梅琳达·梅,relation_属于,机构_神盾局
角色_梅琳达·梅,rdfsyntaxnstype,角色
机构_神盾局,rdfsyntaxnstype,机构
角色_梅琳达·梅,relation_从事,职业_外勤探员
角色_梅琳达·梅,rdfsyntaxnstype,角色
职业_外勤探员,rdfsyntaxnstype,职业
角色_梅琳达·梅,relation_朋友,角色_菲尔·科尔森
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_菲尔·科尔森,rdfsyntaxnstype,角色
角色_梅琳达·梅,relation_配偶,角色_安德鲁·加纳
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_安德鲁·加纳,rdfsyntaxnstype,角色
角色_安德鲁·加纳,relation_属于,机构_神盾局
角色_安德鲁·加纳,rdfsyntaxnstype,角色
机构_神盾局,rdfsyntaxnstype,机构
角色_安德鲁·加纳,relation_从事,职业_心理学家
角色_安德鲁·加纳,rdfsyntaxnstype,角色
职业_心理学家,rdfsyntaxnstype,职业
角色_卡尔·克里尔,relation_对抗,角色_梅琳达·梅
角色_卡尔·克里尔,rdfsyntaxnstype,角色
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_梅琳达·梅,relation_朋友,角色_兰斯·亨特
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_兰斯·亨特,rdfsyntaxnstype,角色
角色_兰斯·亨特,relation_对抗,角色_卡尔·克里尔
角色_兰斯·亨特,rdfsyntaxnstype,角色
角色_卡尔·克里尔,rdfsyntaxnstype,角色
角色_梅琳达·梅,relation_对抗,角色_卡尔·克里尔
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_卡尔·克里尔,rdfsyntaxnstype,角色
角色_梅琳达·梅,relation_对抗,角色_卡尔·克里尔
角色_梅琳达·梅,rdfsyntaxnstype,角色
角色_卡尔·克里尔,rdfsyntaxnstype,角色
角色_黛西·约翰逊,relation_对抗,角色_卡尔·克里尔
角色_黛西·约翰逊,rdfsyntaxnstype,角色
角色_卡尔·克里尔,rdfsyntaxnstype,角色
角色_兰斯·亨特,relation_对抗,角色_卡尔·克里尔
角色_兰斯·亨特,rdfsyntaxnstype,角色
角色_卡尔·克里尔,rdfsyntaxnstype,角色
角色_卡尔·克里尔,relation_属于,团队_九头蛇
角色_卡尔·克里尔,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_菲尔·科尔森,relation_对抗,角色_卡尔·克里尔
角色_菲尔·科尔森,rdfsyntaxnstype,角色
角色_卡尔·克里尔,rdfsyntaxnstype,角色
角色_菲尔·科尔森,relation_对抗,团队_九头蛇
角色_菲尔·科尔森,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_兰斯·亨特,relation_对抗,团队_九头蛇
角色_兰斯·亨特,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_梅琳达·梅,relation_对抗,团队_九头蛇
角色_梅琳达·梅,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_黛西·约翰逊,relation_对抗,团队_九头蛇
角色_黛西·约翰逊,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_苏尼尔·巴克希,relation_从事,职业_探员
角色_苏尼尔·巴克希,rdfsyntaxnstype,角色
职业_探员,rdfsyntaxnstype,职业
角色_苏尼尔·巴克希,relation_属于,团队_九头蛇
角色_苏尼尔·巴克希,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_陌者,relation_拥有,能力_力场爆炸
角色_陌者,rdfsyntaxnstype,角色
能力_力场爆炸,rdfsyntaxnstype,能力
角色_陌者,relation_拥有,能力_物质操控
角色_陌者,rdfsyntaxnstype,角色
能力_物质操控,rdfsyntaxnstype,能力
角色_陌者,relation_拥有,能力_超远距离传送
角色_陌者,rdfsyntaxnstype,角色
能力_超远距离传送,rdfsyntaxnstype,能力
角色_纳摩,relation_出现,作品_《电影连环画周刊》
角色_纳摩,rdfsyntaxnstype,角色
作品_《电影连环画周刊》,rdfsyntaxnstype,作品
角色_纳摩,relation_后代,角色_亚特兰蒂斯
角色_纳摩,rdfsyntaxnstype,角色
角色_亚特兰蒂斯,rdfsyntaxnstype,角色
角色_纳摩,relation_后代,角色_伦纳德·麦肯齐
角色_纳摩,rdfsyntaxnstype,角色
角色_伦纳德·麦肯齐,rdfsyntaxnstype,角色
角色_伦纳德·麦肯齐,relation_配偶,角色_亚特兰蒂斯
角色_伦纳德·麦肯齐,rdfsyntaxnstype,角色
角色_亚特兰蒂斯,rdfsyntaxnstype,角色
角色_纳摩,relation_属于,物种_变种人
角色_纳摩,rdfsyntaxnstype,角色
物种_变种人,rdfsyntaxnstype,物种
角色_特查拉,relation_代号,称号_黑豹
角色_特查拉,rdfsyntaxnstype,角色
称号_黑豹,rdfsyntaxnstype,称号
角色_娜奇雅,relation_从事,职业_保镖
角色_娜奇雅,rdfsyntaxnstype,角色
职业_保镖,rdfsyntaxnstype,职业
角色_娜奇雅,relation_出现,作品_《黑豹》
角色_娜奇雅,rdfsyntaxnstype,角色
作品_《黑豹》,rdfsyntaxnstype,作品
演员_露琵塔·尼咏欧,relation_饰演,角色_娜奇雅
演员_露琵塔·尼咏欧,rdfsyntaxnstype,演员
角色_娜奇雅,rdfsyntaxnstype,角色
角色_娜塔莉娅·罗曼诺夫,relation_代号,称号_黑寡妇
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
称号_黑寡妇,rdfsyntaxnstype,称号
演员_斯嘉丽·约翰逊,relation_饰演,角色_娜塔莉娅·罗曼诺夫
演员_斯嘉丽·约翰逊,rdfsyntaxnstype,演员
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
角色_娜塔莉娅·罗曼诺夫,relation_出现,作品_《钢铁侠2》
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
作品_《钢铁侠2》,rdfsyntaxnstype,作品
角色_娜塔莉娅·罗曼诺夫,relation_属于,机构_前苏联国家安全委员会
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
机构_前苏联国家安全委员会,rdfsyntaxnstype,机构
角色_娜塔莉娅·罗曼诺夫,relation_从事,职业_特工
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
职业_特工,rdfsyntaxnstype,职业
角色_娜塔莉娅·罗曼诺夫,relation_去过,地点_美国
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
地点_美国,rdfsyntaxnstype,地点
角色_娜塔莉娅·罗曼诺夫,relation_属于,机构_神盾局
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
机构_神盾局,rdfsyntaxnstype,机构
角色_娜塔莉娅·罗曼诺夫,relation_从事,职业_特工
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
职业_特工,rdfsyntaxnstype,职业
角色_娜塔莉娅·罗曼诺夫,relation_领导,团队_复仇者联盟
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
团队_复仇者联盟,rdfsyntaxnstype,团队
角色_娜塔莉娅·罗曼诺夫,relation_朋友,角色_尼克·弗瑞
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
角色_尼克·弗瑞,rdfsyntaxnstype,角色
角色_奈德·利兹,relation_朋友,角色_彼得·帕克
角色_奈德·利兹,rdfsyntaxnstype,角色
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_彼得·帕克,relation_代号,称号_蜘蛛侠
角色_彼得·帕克,rdfsyntaxnstype,角色
称号_蜘蛛侠,rdfsyntaxnstype,称号
角色_尼古拉斯·弗瑞,relation_从事,职业_国土战略防御攻击与后勤保障局局长
角色_尼古拉斯·弗瑞,rdfsyntaxnstype,角色
职业_国土战略防御攻击与后勤保障局局长,rdfsyntaxnstype,职业
角色_尼古拉斯·弗瑞,relation_领导,计划_复仇者提案
角色_尼古拉斯·弗瑞,rdfsyntaxnstype,角色
计划_复仇者提案,rdfsyntaxnstype,计划
角色_尼古拉斯·弗瑞,relation_领导,计划_洞察计划
角色_尼古拉斯·弗瑞,rdfsyntaxnstype,角色
计划_洞察计划,rdfsyntaxnstype,计划
角色_尼古拉斯·弗瑞,relation_对抗,团队_九头蛇
角色_尼古拉斯·弗瑞,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_史蒂文·罗杰斯,relation_对抗,团队_九头蛇
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_尼古拉斯·弗瑞,relation_对抗,团队_九头蛇
角色_尼古拉斯·弗瑞,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_娜塔莉娅·罗曼诺夫,relation_对抗,团队_九头蛇
角色_娜塔莉娅·罗曼诺夫,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_山姆·威尔逊,relation_对抗,团队_九头蛇
角色_山姆·威尔逊,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_玛利亚·希尔,relation_对抗,团队_九头蛇
角色_玛利亚·希尔,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_菲尔·科尔森,relation_从事,职业_神盾局局长
角色_菲尔·科尔森,rdfsyntaxnstype,角色
职业_神盾局局长,rdfsyntaxnstype,职业
角色_尼古拉斯·弗瑞,relation_朋友,角色_玛利亚·希尔
角色_尼古拉斯·弗瑞,rdfsyntaxnstype,角色
角色_玛利亚·希尔,rdfsyntaxnstype,角色
角色_菲尔·科尔森,relation_持有,装备_69号天空母舰
角色_菲尔·科尔森,rdfsyntaxnstype,角色
装备_69号天空母舰,rdfsyntaxnstype,装备
角色_尼古拉斯·弗瑞,relation_持有,装备_69号天空母舰
角色_尼古拉斯·弗瑞,rdfsyntaxnstype,角色
装备_69号天空母舰,rdfsyntaxnstype,装备
角色_尼克·弗瑞,relation_从事,职业_美国陆军
角色_尼克·弗瑞,rdfsyntaxnstype,角色
职业_美国陆军,rdfsyntaxnstype,职业
角色_菲尔·科尔森,relation_从事,职业_国土战略攻击防御与后勤保障局局长
角色_菲尔·科尔森,rdfsyntaxnstype,角色
职业_国土战略攻击防御与后勤保障局局长,rdfsyntaxnstype,职业
角色_菲尔·科尔森,relation_参与,计划_复仇者提案
角色_菲尔·科尔森,rdfsyntaxnstype,角色
计划_复仇者提案,rdfsyntaxnstype,计划
角色_托尼·斯塔克,relation_代号,称号_钢铁侠
角色_托尼·斯塔克,rdfsyntaxnstype,角色
称号_钢铁侠,rdfsyntaxnstype,称号
角色_托尼·斯塔克,relation_对抗,角色_伊万·凡科
角色_托尼·斯塔克,rdfsyntaxnstype,角色
角色_伊万·凡科,rdfsyntaxnstype,角色
角色_托尼·斯塔克,relation_制造,装备_新型方舟反应堆
角色_托尼·斯塔克,rdfsyntaxnstype,角色
装备_新型方舟反应堆,rdfsyntaxnstype,装备
角色_埃里克·塞维格,relation_从事,职业_天体物理学家
角色_埃里克·塞维格,rdfsyntaxnstype,角色
职业_天体物理学家,rdfsyntaxnstype,职业
角色_佩姬·卡特,relation_出现,作品_《美国队长》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《美国队长》,rdfsyntaxnstype,作品
角色_史蒂文·罗杰斯,relation_出现,作品_《美国队长》
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
作品_《美国队长》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_朋友,角色_史蒂文·罗杰斯
角色_佩姬·卡特,rdfsyntaxnstype,角色
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
角色_史蒂文·罗杰斯,relation_出现,作品_《美国队长2：冬日战士》
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
作品_《美国队长2：冬日战士》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_出现,作品_《美国队长2：冬日战士》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《美国队长2：冬日战士》,rdfsyntaxnstype,作品
角色_史蒂文·罗杰斯,relation_出现,作品_《复仇者联盟2：奥创纪元》
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
作品_《复仇者联盟2：奥创纪元》,rdfsyntaxnstype,作品
角色_汪达·马克希莫夫,relation_出现,作品_《复仇者联盟2：奥创纪元》
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
作品_《复仇者联盟2：奥创纪元》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_出现,作品_《复仇者联盟2：奥创纪元》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《复仇者联盟2：奥创纪元》,rdfsyntaxnstype,作品
角色_汉克·皮姆,relation_属于,机构_神盾局
角色_汉克·皮姆,rdfsyntaxnstype,角色
机构_神盾局,rdfsyntaxnstype,机构
角色_汉克·皮姆,relation_出现,作品_《蚁人》
角色_汉克·皮姆,rdfsyntaxnstype,角色
作品_《蚁人》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_出现,作品_《蚁人》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《蚁人》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_出现,作品_《美国队长3：内战》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《美国队长3：内战》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_出现,作品_《特工卡特》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《特工卡特》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_出现,作品_《神盾局特工》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《神盾局特工》,rdfsyntaxnstype,作品
团队_咆哮突击队,relation_出现,作品_《神盾局特工》
团队_咆哮突击队,rdfsyntaxnstype,团队
作品_《神盾局特工》,rdfsyntaxnstype,作品
角色_丹尼尔·怀特霍,relation_出现,作品_《神盾局特工》
角色_丹尼尔·怀特霍,rdfsyntaxnstype,角色
作品_《神盾局特工》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_对抗,团队_九头蛇
角色_佩姬·卡特,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
团队_咆哮突击队,relation_对抗,团队_九头蛇
团队_咆哮突击队,rdfsyntaxnstype,团队
团队_九头蛇,rdfsyntaxnstype,团队
角色_佩姬·卡特,relation_对抗,角色_丹尼尔·怀特霍
角色_佩姬·卡特,rdfsyntaxnstype,角色
角色_丹尼尔·怀特霍,rdfsyntaxnstype,角色
角色_佩姬·卡特,relation_出现,作品_《特工卡特》
角色_佩姬·卡特,rdfsyntaxnstype,角色
作品_《特工卡特》,rdfsyntaxnstype,作品
角色_霍华德·斯塔克,relation_出现,作品_《特工卡特》
角色_霍华德·斯塔克,rdfsyntaxnstype,角色
作品_《特工卡特》,rdfsyntaxnstype,作品
角色_佩姬·卡特,relation_朋友,角色_霍华德·斯塔克
角色_佩姬·卡特,rdfsyntaxnstype,角色
角色_霍华德·斯塔克,rdfsyntaxnstype,角色
角色_萨诺斯,relation_爱上,角色_死亡女神
角色_萨诺斯,rdfsyntaxnstype,角色
角色_死亡女神,rdfsyntaxnstype,角色
角色_娜奇雅,relation_爱上,角色_特查拉
角色_娜奇雅,rdfsyntaxnstype,角色
角色_特查拉,rdfsyntaxnstype,角色
角色_萨诺斯,relation_持有,装备_宇宙魔方
角色_萨诺斯,rdfsyntaxnstype,角色
装备_宇宙魔方,rdfsyntaxnstype,装备
角色_萨诺斯,relation_对抗,角色_史蒂文·罗杰斯
角色_萨诺斯,rdfsyntaxnstype,角色
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
角色_萨诺斯,relation_持有,装备_庇护所II号
角色_萨诺斯,rdfsyntaxnstype,角色
装备_庇护所II号,rdfsyntaxnstype,装备
角色_萨诺斯,relation_出现,作品_《复仇者联盟》
角色_萨诺斯,rdfsyntaxnstype,角色
作品_《复仇者联盟》,rdfsyntaxnstype,作品
演员_达米恩・波蒂埃,relation_饰演,角色_萨诺斯
演员_达米恩・波蒂埃,rdfsyntaxnstype,演员
角色_萨诺斯,rdfsyntaxnstype,角色
演员_乔许·布洛林,relation_饰演,角色_萨诺斯
演员_乔许·布洛林,rdfsyntaxnstype,演员
角色_萨诺斯,rdfsyntaxnstype,角色
角色_萨诺斯,relation_出现,作品_《银河护卫队》
角色_萨诺斯,rdfsyntaxnstype,角色
作品_《银河护卫队》,rdfsyntaxnstype,作品
演员_乔许·布洛林,relation_饰演,角色_萨诺斯
演员_乔许·布洛林,rdfsyntaxnstype,演员
角色_萨诺斯,rdfsyntaxnstype,角色
角色_萨诺斯,relation_出现,作品_《复仇者联盟2：奥创纪元》
角色_萨诺斯,rdfsyntaxnstype,角色
作品_《复仇者联盟2：奥创纪元》,rdfsyntaxnstype,作品
角色_萨诺斯,relation_出现,作品_《复仇者联盟3:无限之战》
角色_萨诺斯,rdfsyntaxnstype,角色
作品_《复仇者联盟3:无限之战》,rdfsyntaxnstype,作品
演员_乔许·布洛林,relation_饰演,角色_萨诺斯
演员_乔许·布洛林,rdfsyntaxnstype,演员
角色_萨诺斯,rdfsyntaxnstype,角色
角色_桑尼·伯奇,relation_从事,职业_黑市科技货品交易商
角色_桑尼·伯奇,rdfsyntaxnstype,角色
职业_黑市科技货品交易商,rdfsyntaxnstype,职业
角色_史蒂文·罗杰斯,relation_代号,称号_史蒂夫
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
称号_史蒂夫,rdfsyntaxnstype,称号
角色_史蒂文·罗杰斯,relation_代号,称号_第一代美国队长
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
称号_第一代美国队长,rdfsyntaxnstype,称号
角色_史蒂文·罗杰斯,relation_属于,机构_神盾局
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
机构_神盾局,rdfsyntaxnstype,机构
角色_史蒂文·罗杰斯,relation_属于,团队_复仇者联盟
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
团队_复仇者联盟,rdfsyntaxnstype,团队
角色_史蒂文·罗杰斯,relation_从事,职业_美国陆军
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
职业_美国陆军,rdfsyntaxnstype,职业
角色_史蒂文·罗杰斯,relation_属于,团队_咆哮突击队
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
团队_咆哮突击队,rdfsyntaxnstype,团队
角色_史蒂文·罗杰斯,relation_后代,角色_约瑟夫·罗杰斯
角色_史蒂文·罗杰斯,rdfsyntaxnstype,角色
角色_约瑟夫·罗杰斯,rdfsyntaxnstype,角色
角色_史蒂文·罗杰斯,relation_后代,角色_莎拉·罗杰斯
